"Gene_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"AT1G01620",1286.66747093774,0.996995514223371,0.128245488818652,1.00203105676022e-15,1.06755275419393e-13,"Not significant"
"AT1G75460",339.662214531859,1.14768949980549,0.148121122398133,1.09030857013915e-15,1.14883777195376e-13,"Up-regulated"
"AT5G02120",600.045965544626,1.00004874019445,0.128776502671218,1.08831019469004e-15,1.14883777195376e-13,"Up-regulated"
"AT3G61260",475.3714629503,1.20474005313464,0.155680479346545,1.11118225170016e-15,1.1644339913035e-13,"Up-regulated"
"AT5G15120",38.7164715443461,-3.87682345756204,0.49719922931433,1.16237552966792e-15,1.21146062676314e-13,"Down-regulated"
"AT5G14200",215.970801716448,-1.34271807813349,0.174202965210231,1.21901586678372e-15,1.26362525823305e-13,"Down-regulated"
"AT2G39570",247.37736189568,1.33459991052449,0.173379302132311,1.27287453776002e-15,1.31236102207655e-13,"Up-regulated"
"AT2G04460",45.9992299439737,-3.44166670611411,0.44693052777158,1.44083779824417e-15,1.47759071962185e-13,"Down-regulated"
"AT3G24190",223.598876793903,1.27601037488161,0.165957459302095,1.46749983568527e-15,1.49692789090088e-13,"Up-regulated"
"AT1G78570",258.842296722214,-1.19202328900437,0.155156167952973,1.65089464202018e-15,1.67509029365191e-13,"Down-regulated"
"AT2G40610",106.435918974536,1.68585471557084,0.220729600216171,1.74340360767103e-15,1.75964478864776e-13,"Up-regulated"
"AT3G49110",78.5892132569122,-2.13249341142764,0.279899491120741,1.88467300546847e-15,1.89227090187795e-13,"Down-regulated"
"AT2G34490",140.232474096522,-1.88622462118166,0.248580713259669,2.1163008076535e-15,2.11376565564433e-13,"Down-regulated"
"AT3G07110",806.509650014789,-0.900554429044749,0.117335439812504,2.58523516412761e-15,2.56875931308161e-13,"Not significant"
"AT2G38870",764.238336739648,-1.11626542404911,0.146353944758539,2.71399711510908e-15,2.68280013796118e-13,"Down-regulated"
"AT1G69530",991.117388182963,1.0875344071689,0.142714211526461,3.09018090922105e-15,3.03899483569908e-13,"Up-regulated"
"AT5G56550",98.6604030458939,1.75136048010124,0.231583622698506,3.12737409031934e-15,3.05988025153337e-13,"Up-regulated"
"AT4G34870",3035.8298799802,-1.00374356360983,0.131913205613629,3.6125266901483e-15,3.51662052471949e-13,"Down-regulated"
"AT4G25810",103.370933280946,-1.82440960663551,0.242901306565485,4.39638481904123e-15,4.25805412498756e-13,"Down-regulated"
"AT1G07180",192.289448616102,1.27634362352511,0.169765749675615,5.45186357603392e-15,5.25378833153782e-13,"Up-regulated"
"AT4G04460",46.5153798631952,-3.63742973195192,0.482731486249356,5.58669628425602e-15,5.35680373215889e-13,"Down-regulated"
"AT5G02810",334.095940347396,1.12845293612714,0.150381719800371,6.91206025257605e-15,6.594655694709e-13,"Up-regulated"
"ATCG01070",525.078407440941,1.31566420087442,0.175883706738549,7.13783408846469e-15,6.77634872843997e-13,"Up-regulated"
"AT4G14365",65.9329639315044,-2.42330537841255,0.325864620886562,7.46575477212895e-15,7.05274774705009e-13,"Down-regulated"
"AT2G30870",1845.32460501232,-0.98730920411051,0.131552341704291,8.25551659338185e-15,7.76059027996489e-13,"Not significant"
"AT2G18700",556.310864606868,0.993383693908997,0.132519130150777,9.14329065172098e-15,8.55321389405138e-13,"Not significant"
"AT5G24150",52.2465732927023,2.59970788647902,0.354395668837648,1.20304574616135e-14,1.11994214922991e-12,"Up-regulated"
"AT4G34200",824.857821892508,-1.12894584069879,0.152051442981203,1.24109484028287e-14,1.14978143729974e-12,"Down-regulated"
"AT5G02840",232.418435014999,1.35369070500537,0.183103707798913,1.27089898145144e-14,1.17173220035068e-12,"Up-regulated"
"AT4G12980",118.165655445094,1.71039137368294,0.231674596724187,1.2803996552885e-14,1.17484326265395e-12,"Up-regulated"
"AT5G26000",974.364660128511,0.943339363344843,0.12658869512655,1.38773069285062e-14,1.2672624522284e-12,"Not significant"
"AT4G36850",349.580891519695,1.35048763083471,0.1829753234449,1.4092741857066e-14,1.28083654309457e-12,"Up-regulated"
"AT1G55265",78.5948339195589,-1.91950251638749,0.260716141901931,1.46719164592273e-14,1.32344762305612e-12,"Down-regulated"
"AT2G29450",253.090364920594,1.13303748967249,0.152927266137605,1.46996059712652e-14,1.32344762305612e-12,"Up-regulated"
"AT4G33666",265.566658294682,1.16558367235615,0.157450228208868,1.48639439330572e-14,1.33198996637495e-12,"Up-regulated"
"AT1G64370",489.624359474576,1.02270378150792,0.137874175891327,1.5520926211809e-14,1.38439442773889e-12,"Up-regulated"
"AT1G19000",551.213368232569,0.954861759214633,0.12899400140795,1.94507871930877e-14,1.72688771297149e-12,"Not significant"
"AT3G06070",110.382347304103,1.61417828106439,0.220486606003471,1.97894813717044e-14,1.74886121781187e-12,"Up-regulated"
"AT1G66760",164.439723178182,1.34703978131665,0.184157132576808,2.29032200617518e-14,2.01474794093676e-12,"Up-regulated"
"AT5G24420",48.8604297438565,2.40562530751905,0.332330749738967,3.16177663832627e-14,2.76864797229145e-12,"Up-regulated"
"AT4G12320",120.145244782464,1.81148389558753,0.24973306932208,3.21508659534061e-14,2.80253252903849e-12,"Up-regulated"
"AT3G47470",10184.3895202802,0.711876317138533,0.0965293386230804,3.87983758285041e-14,3.36668078399649e-12,"Not significant"
